Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Tag GPS Coords,Sensor GPS Coords,Time (s),Distance (m),Time of Flight (s),Predicted Distance (m)

457049,129,2021-07-22 11:13:58.800,A69-1602,65477,82.0,32.0,0,#8D,"(34.109135, -117.71281)","(34.109172, -117.71241)",0.0,38,0.0,0.0

457049,131,2021-07-22 11:14:06.979,A69-1602,65477,82.5,39.0,0,#9D,"(34.109135, -117.71281)","(34.109172, -117.71241)",8.179,38,7.142857142916625e-05,0.10428571428658273

457049,132,2021-07-22 11:14:15.158,A69-1602,65477,82.0,39.0,0,#8E,"(34.109135, -117.71281)","(34.109172, -117.71241)",16.358,38,0.0001428571428583325,0.20857142857316546

457049,133,2021-07-22 11:14:23.337,A69-1602,65477,82.0,32.0,0,#86,"(34.109135, -117.71281)","(34.109172, -117.71241)",24.536929,38,0.00028528571428765304,0.41651714285997343

457049,134,2021-07-22 11:14:31.516,A69-1602,65477,82.0,34.0,0,#87,"(34.109135, -117.71281)","(34.109172, -117.71241)",32.715715,38,0.0005707142857147574,0.8332428571435457

457049,135,2021-07-22 11:14:39.695,A69-1602,65477,82.0,35.5,0,#9E,"(34.109135, -117.71281)","(34.109172, -117.71241)",40.894216,38,0.0011411428571470594,1.6660685714347068

457049,136,2021-07-22 11:14:47.874,A69-1602,65477,82.0,43.0,0,#97,"(34.109135, -117.71281)","(34.109172, -117.71241)",49.072146,38,0.002282571428580127,3.332554285726985

457049,137,2021-07-22 11:14:56.053,A69-1602,65477,82.0,41.5,0,#90,"(34.109135, -117.71281)","(34.109172, -117.71241)",57.248935,38,0.004565000000003039,6.664900000004437

457049,139,2021-07-22 11:15:04.232,A69-1602,65477,80.5,33.5,0,#90,"(34.109135, -117.71281)","(34.109172, -117.71241)",65.424441,38,0.008130428571433868,11.870425714293447

457049,140,2021-07-22 11:15:12.411,A69-1602,65477,80.5,33.0,0,#81,"(34.109135, -117.71281)","(34.109172, -117.71241)",73.595382,38,0.016260857142864182,23.740851428581706

457049,141,2021-07-22 11:15:20.590,A69-1602,65477,80.0,39.0,0,#8A,"(34.109135, -117.71281)","(34.109172, -117.71241)",81.758193,38,0.032521285714288695,47.481077142861494

457049,142,2021-07-22 11:15:28.769,A69-1602,65477,81.5,38.0,0,#97,"(34.109135, -117.71281)","(34.109172, -117.71241)",89.904743,38,0.0650427142857275,94.96236285716215

457049,143,2021-07-22 11:15:36.948,A69-1602,65477,81.0,32.5,0,#99,"(34.109135, -117.71281)","(34.109172, -117.71241)",98.018772,38,0.13008514285715478,189.92430857144598

457049,144,2021-07-22 11:15:45.127,A69-1602,65477,80.0,32.0,0,#89,"(34.109135, -117.71281)","(34.109172, -117.71241)",106.067758,38,7.9189008571428445,11561.595251428553

457049,145,2021-07-22 11:15:53.306,A69-1602,65477,79.5,31.5,0,#9A,"(34.109135, -117.71281)","(34.109172, -117.71241)",106.328929,38,0.001000428571419576,1.460625714272581

457049,147,2021-07-22 11:16:01.485,A69-1602,65477,80.5,39.0,0,#99,"(34.109135, -117.71281)","(34.109172, -117.71241)",114.507929,38,0.0009289999999921861,1.3563399999885917

457049,148,2021-07-22 11:16:09.664,A69-1602,65477,80.5,37.5,0,#A4,"(34.109135, -117.71281)","(34.109172, -117.71241)",122.686929,38,0.0008575714285647962,1.2520542857046024

457049,149,2021-07-22 11:16:17.843,A69-1602,65477,80.5,30.5,0,#9C,"(34.109135, -117.71281)","(34.109172, -117.71241)",130.865929,38,0.0007861428571231954,1.1477685713998653

457049,150,2021-07-22 11:16:26.022,A69-1602,65477,80.5,31.0,0,#85,"(34.109135, -117.71281)","(34.109172, -117.71241)",139.044929,38,0.0007147142856958055,1.043482857115876

457049,151,2021-07-22 11:16:34.201,A69-1602,65477,80.5,38.0,0,#8B,"(34.109135, -117.71281)","(34.109172, -117.71241)",147.223929,38,0.0006432857142684156,0.9391971428318868

457049,152,2021-07-22 11:16:42.380,A69-1602,65477,81.0,38.5,0,#94,"(34.109135, -117.71281)","(34.109172, -117.71241)",155.402929,38,0.0005718571428410257,0.8349114285478976

457049,153,2021-07-22 11:16:50.559,A69-1602,65477,81.5,34.5,0,#95,"(34.109135, -117.71281)","(34.109172, -117.71241)",163.582929,38,0.0015004285714184107,2.1906257142708796

457049,154,2021-07-22 11:16:58.738,A69-1602,65477,82.0,34.5,0,#99,"(34.109135, -117.71281)","(34.109172, -117.71241)",163.842171,38,0.2607424285714188,380.6839457142715

457049,156,2021-07-22 11:17:06.917,A69-1602,65477,82.0,33.5,0,#93,"(34.109135, -117.71281)","(34.109172, -117.71241)",163.842171,38,0.2607424285714188,380.6839457142715

457049,157,2021-07-22 11:17:15.096,A69-1602,65477,81.5,40.0,0,#98,"(34.109135, -117.71281)","(34.109172, -117.71241)",172.021171,38,0.26067099999999144,380.5796599999875

457049,158,2021-07-22 11:17:23.275,A69-1602,65477,82.0,36.0,0,#98,"(34.109135, -117.71281)","(34.109172, -117.71241)",180.200171,38,0.26059957142856405,380.47537428570354

457049,159,2021-07-22 11:17:31.454,A69-1602,65477,81.5,30.0,0,#95,"(34.109135, -117.71281)","(34.109172, -117.71241)",188.379171,38,0.26052814285713666,380.37108857141953

457049,160,2021-07-22 11:17:39.633,A69-1602,65477,82.5,32.0,0,#97,"(34.109135, -117.71281)","(34.109172, -117.71241)",196.558171,38,0.26045671428568085,380.26680285709404

457049,161,2021-07-22 11:17:47.812,A69-1602,65477,82.0,36.5,0,#9A,"(34.109135, -117.71281)","(34.109172, -117.71241)",204.737171,38,0.26038528571425346,380.16251714281003

457049,162,2021-07-22 11:17:55.991,A69-1602,65477,81.0,36.0,0,#9D,"(34.109135, -117.71281)","(34.109172, -117.71241)",212.917171,38,0.26131385714283084,381.518231428533

457049,164,2021-07-22 11:18:04.170,A69-1602,65477,82.0,41.5,0,#91,"(34.109135, -117.71281)","(34.109172, -117.71241)",212.916242,38,0.26038485714284576,380.1618914285548

457049,165,2021-07-22 11:18:12.349,A69-1602,65477,82.0,38.0,0,#91,"(34.109135, -117.71281)","(34.109172, -117.71241)",221.095242,38,0.26031342857141837,380.05760571427084

457049,166,2021-07-22 11:18:20.528,A69-1602,65477,82.5,34.5,0,#96,"(34.109135, -117.71281)","(34.109172, -117.71241)",229.274242,38,0.26024199999996256,379.95331999994534

457049,167,2021-07-22 11:18:28.707,A69-1602,65477,82.5,35.0,0,#9A,"(34.109135, -117.71281)","(34.109172, -117.71241)",237.453242,38,0.26017057142853517,379.84903428566133

457049,168,2021-07-22 11:18:36.886,A69-1602,65477,82.0,40.5,0,#9E,"(34.109135, -117.71281)","(34.109172, -117.71241)",245.632242,38,0.2600991428571078,379.7447485713774

457049,169,2021-07-22 11:18:45.065,A69-1602,65477,82.0,38.0,0,#9F,"(34.109135, -117.71281)","(34.109172, -117.71241)",253.811242,38,0.2600277142856804,379.6404628570934

457049,170,2021-07-22 11:18:53.244,A69-1602,65477,82.0,34.0,0,#92,"(34.109135, -117.71281)","(34.109172, -117.71241)",261.991242,38,0.2609562857142578,380.99617714281635

457049,172,2021-07-22 11:19:01.423,A69-1602,65477,82.0,33.5,0,#90,"(34.109135, -117.71281)","(34.109172, -117.71241)",261.988385,38,0.2580992857142519,376.82495714280776

457049,173,2021-07-22 11:19:09.602,A69-1602,65477,82.0,34.0,0,#94,"(34.109135, -117.71281)","(34.109172, -117.71241)",270.167385,38,0.2580278571428529,376.72067142856525

457049,174,2021-07-22 11:19:17.781,A69-1602,65477,82.0,39.5,0,#A6,"(34.109135, -117.71281)","(34.109172, -117.71241)",278.346385,38,0.2579564285713971,376.61638571423975

457049,175,2021-07-22 11:19:25.960,A69-1602,65477,82.0,38.5,0,#A5,"(34.109135, -117.71281)","(34.109172, -117.71241)",286.526385,38,0.2588849999999745,377.9720999999628

457049,176,2021-07-22 11:19:34.139,A69-1602,65477,82.0,32.5,0,#95,"(34.109135, -117.71281)","(34.109172, -117.71241)",286.523599,38,0.2560989999999599,373.90453999994145

457049,177,2021-07-22 11:19:42.318,A69-1602,65477,82.0,38.0,0,#95,"(34.109135, -117.71281)","(34.109172, -117.71241)",294.702599,38,0.2560275714285609,373.80025428569894

457049,178,2021-07-22 11:19:50.497,A69-1602,65477,82.0,37.5,0,#98,"(34.109135, -117.71281)","(34.109172, -117.71241)",302.881599,38,0.2559561428571051,373.69596857137344

457049,179,2021-07-22 11:19:58.710,A69-1602,65477,82.0,42.0,0,#A0,"(34.109135, -117.71281)","(34.109172, -117.71241)",311.060599,38,0.25588471428570614,373.591682857131

457049,181,2021-07-22 11:20:06.889,A69-1602,65477,82.0,37.5,0,#92,"(34.109135, -117.71281)","(34.109172, -117.71241)",319.239599,38,0.2558132857142503,373.4873971428055

457049,182,2021-07-22 11:20:15.068,A69-1602,65477,82.0,35.5,0,#8E,"(34.109135, -117.71281)","(34.109172, -117.71241)",327.417599,38,0.25474185714281816,371.9231114285145

457049,183,2021-07-22 11:20:23.247,A69-1602,65477,82.0,36.5,0,#8F,"(34.109135, -117.71281)","(34.109172, -117.71241)",335.597599,38,0.25567042857139555,373.2788257142375

457049,184,2021-07-22 11:20:31.426,A69-1602,65477,82.0,40.5,0,#91,"(34.109135, -117.71281)","(34.109172, -117.71241)",335.592885,38,0.250956428571417,366.3963857142688

457049,185,2021-07-22 11:20:39.605,A69-1602,65477,82.0,40.5,0,#99,"(34.109135, -117.71281)","(34.109172, -117.71241)",343.771885,38,0.25088499999996117,366.2920999999433

457049,186,2021-07-22 11:20:47.784,A69-1602,65477,82.0,36.0,0,#98,"(34.109135, -117.71281)","(34.109172, -117.71241)",351.950885,38,0.2508135714285622,366.1878142857008

457049,187,2021-07-22 11:20:55.963,A69-1602,65477,81.5,34.5,0,#A1,"(34.109135, -117.71281)","(34.109172, -117.71241)",360.132885,38,0.2537421428570923,370.46352857135474

457049,189,2021-07-22 11:21:04.142,A69-1602,65477,82.0,34.5,0,#8F,"(34.109135, -117.71281)","(34.109172, -117.71241)",360.126242,38,0.24709914285709544,360.76474857135935

457049,190,2021-07-22 11:21:12.321,A69-1602,65477,81.5,41.0,0,#8B,"(34.109135, -117.71281)","(34.109172, -117.71241)",368.305242,38,0.24702771428569648,360.66046285711684

457049,191,2021-07-22 11:21:20.500,A69-1602,65477,81.5,38.0,0,#91,"(34.109135, -117.71281)","(34.109172, -117.71241)",376.485242,38,0.24795628571427386,362.01617714283987

457049,192,2021-07-22 11:21:28.679,A69-1602,65477,82.0,37.0,0,#93,"(34.109135, -117.71281)","(34.109172, -117.71241)",376.476671,38,0.2393852857142562,349.5025171428141

457049,193,2021-07-22 11:21:36.858,A69-1602,65477,82.0,33.5,0,#94,"(34.109135, -117.71281)","(34.109172, -117.71241)",384.656671,38,0.2403138571428336,350.85823142853707

457049,194,2021-07-22 11:21:45.037,A69-1602,65477,81.5,37.0,0,#8D,"(34.109135, -117.71281)","(34.109172, -117.71241)",384.648171,38,0.23181385714280722,338.44823142849856

457049,195,2021-07-22 11:21:53.216,A69-1602,65477,81.5,32.5,0,#9D,"(34.109135, -117.71281)","(34.109172, -117.71241)",392.826171,38,0.23074242857137506,336.8839457142076

457049,197,2021-07-22 11:22:01.395,A69-1602,65477,82.0,30.5,0,#92,"(34.109135, -117.71281)","(34.109172, -117.71241)",401.005171,38,0.2306709999999761,336.7796599999651

457049,198,2021-07-22 11:22:09.574,A69-1602,65477,81.0,28.5,0,#A0,"(34.109135, -117.71281)","(34.109172, -117.71241)",409.184171,38,0.23059957142852028,336.6753742856396

457049,199,2021-07-22 11:22:17.753,A69-1602,65477,81.5,33.5,0,#A0,"(34.109135, -117.71281)","(34.109172, -117.71241)",417.363171,38,0.2305281428571213,336.5710885713971

457049,200,2021-07-22 11:22:25.932,A69-1602,65477,81.5,36.0,0,#8C,"(34.109135, -117.71281)","(34.109172, -117.71241)",425.543171,38,0.23145671428564185,337.9268028570371

457049,201,2021-07-22 11:22:34.111,A69-1602,65477,81.0,38.5,0,#8C,"(34.109135, -117.71281)","(34.109172, -117.71241)",425.532742,38,0.22102771428565404,322.7004628570549

457049,202,2021-07-22 11:22:42.290,A69-1602,65477,82.0,34.5,0,#88,"(34.109135, -117.71281)","(34.109172, -117.71241)",433.711742,38,0.22095628571425507,322.5961771428124

457049,203,2021-07-22 11:22:50.469,A69-1602,65477,82.0,36.0,0,#84,"(34.109135, -117.71281)","(34.109172, -117.71241)",441.890742,38,0.22088485714279926,322.49189142848695

457049,204,2021-07-22 11:22:58.648,A69-1602,65477,82.0,40.5,0,#8C,"(34.109135, -117.71281)","(34.109172, -117.71241)",450.069742,38,0.2208134285714003,322.38760571424444

457049,206,2021-07-22 11:23:06.827,A69-1602,65477,81.5,40.0,0,#87,"(34.109135, -117.71281)","(34.109172, -117.71241)",458.249742,38,0.22174199999997768,323.7433199999674

457049,207,2021-07-22 11:23:15.006,A69-1602,65477,80.5,34.0,0,#91,"(34.109135, -117.71281)","(34.109172, -117.71241)",458.239385,38,0.21138499999997862,308.6220999999688

457049,208,2021-07-22 11:23:23.185,A69-1602,65477,82.0,35.5,0,#93,"(34.109135, -117.71281)","(34.109172, -117.71241)",466.418385,38,0.2113135714285228,308.5178142856433

457049,209,2021-07-22 11:23:31.364,A69-1602,65477,82.0,39.5,0,#96,"(34.109135, -117.71281)","(34.109172, -117.71241)",474.597385,38,0.211242142857067,308.4135285713178

457049,210,2021-07-22 11:23:39.543,A69-1602,65477,82.0,43.5,0,#8F,"(34.109135, -117.71281)","(34.109172, -117.71241)",482.775385,38,0.21017071428569167,306.84924285710986

457049,211,2021-07-22 11:23:47.722,A69-1602,65477,82.0,40.0,0,#8F,"(34.109135, -117.71281)","(34.109172, -117.71241)",490.954385,38,0.21009928571423586,306.74495714278436

457049,212,2021-07-22 11:23:55.901,A69-1602,65477,82.5,37.0,0,#9A,"(34.109135, -117.71281)","(34.109172, -117.71241)",499.134385,38,0.21102785714281325,308.1006714285073

457049,214,2021-07-22 11:24:04.080,A69-1602,65477,82.0,38.5,0,#8D,"(34.109135, -117.71281)","(34.109172, -117.71241)",499.123099,38,0.1997418571428291,291.6231114285305

457049,215,2021-07-22 11:24:12.259,A69-1602,65477,82.0,39.5,0,#8D,"(34.109135, -117.71281)","(34.109172, -117.71241)",507.302099,38,0.1996704285713733,291.51882571420504

457049,216,2021-07-22 11:24:20.438,A69-1602,65477,81.5,42.0,0,#85,"(34.109135, -117.71281)","(34.109172, -117.71241)",515.481099,38,0.19959899999991748,291.41453999987954

457049,217,2021-07-22 11:24:28.617,A69-1602,65477,81.0,35.5,0,#98,"(34.109135, -117.71281)","(34.109172, -117.71241)",523.660099,38,0.19952757142846167,291.31025428555404

457049,218,2021-07-22 11:24:36.796,A69-1602,65477,81.5,35.0,0,#97,"(34.109135, -117.71281)","(34.109172, -117.71241)",531.839099,38,0.19945614285711954,291.2059685713945

457049,219,2021-07-22 11:24:44.975,A69-1602,65477,82.0,34.5,0,#97,"(34.109135, -117.71281)","(34.109172, -117.71241)",540.019099,38,0.2003847142856401,292.5616828570345