Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),Zero,Channel,Distance (m),Sensor GPS Coords,Tag GPS Coords

457012,002,2021-06-29 18:41:54.042,A69-1602,65478,67.0,31.5,0,#89,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,003,2021-06-29 18:42:02.221,A69-1602,65478,64.5,31.0,0,#80,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,004,2021-06-29 18:42:10.398,A69-1602,65478,72.0,32.5,0,#8F,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,005,2021-06-29 18:42:18.577,A69-1602,65478,80.0,37.0,0,#96,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,006,2021-06-29 18:42:26.758,A69-1602,65478,74.0,38.5,0,#A0,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,007,2021-06-29 18:42:34.938,A69-1602,65478,67.0,41.0,0,#97,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,008,2021-06-29 18:42:43.115,A69-1602,65478,73.0,39.0,0,#8F,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,009,2021-06-29 18:42:51.294,A69-1602,65478,72.0,41.5,0,#94,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,010,2021-06-29 18:42:59.473,A69-1602,65478,72.5,41.5,0,#98,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,011,2021-06-29 18:43:07.652,A69-1602,65478,70.0,39.0,0,#8D,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,012,2021-06-29 18:43:15.829,A69-1602,65478,78.5,33.5,0,#9F,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,013,2021-06-29 18:43:24.007,A69-1602,65478,79.5,39.0,0,#96,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,014,2021-06-29 18:43:32.186,A69-1602,65478,67.5,40.5,0,#98,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,015,2021-06-29 18:43:40.368,A69-1602,65478,71.0,43.0,0,#8E,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,016,2021-06-29 18:43:48.549,A69-1602,65478,71.0,42.0,0,#97,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,018,2021-06-29 18:43:56.730,A69-1602,65478,68.0,44.0,0,#98,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,019,2021-06-29 18:44:13.090,A69-1602,65478,72.5,38.5,0,#9A,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,020,2021-06-29 18:44:21.269,A69-1602,65478,70.5,40.5,0,#90,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,021,2021-06-29 18:44:37.624,A69-1602,65478,81.0,35.5,0,#94,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,022,2021-06-29 18:44:45.803,A69-1602,65478,64.0,32.5,0,#91,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,024,2021-06-29 18:44:53.981,A69-1602,65478,71.0,33.5,0,#98,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,025,2021-06-29 18:45:02.160,A69-1602,65478,67.5,32.5,0,#92,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,026,2021-06-29 18:45:10.337,A69-1602,65478,80.5,37.5,0,#98,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,027,2021-06-29 18:45:18.516,A69-1602,65478,81.0,39.5,0,#9E,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,028,2021-06-29 18:45:26.696,A69-1602,65478,58.5,36.0,0,#A8,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,029,2021-06-29 18:45:34.876,A69-1602,65478,65.0,41.5,0,#A2,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,030,2021-06-29 18:45:43.056,A69-1602,65478,67.5,44.0,0,#95,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,032,2021-06-29 18:45:51.236,A69-1602,65478,70.0,40.5,0,#8C,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,033,2021-06-29 18:45:59.416,A69-1602,65478,71.0,39.5,0,#9E,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,034,2021-06-29 18:46:07.597,A69-1602,65478,71.0,40.0,0,#96,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,035,2021-06-29 18:46:15.777,A69-1602,65478,72.0,39.5,0,#A4,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,036,2021-06-29 18:46:23.957,A69-1602,65478,74.0,37.5,0,#A4,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,037,2021-06-29 18:46:32.136,A69-1602,65478,76.5,38.5,0,#A2,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,038,2021-06-29 18:46:48.495,A69-1602,65478,78.0,37.5,0,#AE,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,040,2021-06-29 18:46:56.673,A69-1602,65478,77.5,36.0,0,#A2,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,041,2021-06-29 18:47:04.851,A69-1602,65478,76.0,35.0,0,#94,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,042,2021-06-29 18:47:13.029,A69-1602,65478,80.5,38.5,0,#9A,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,043,2021-06-29 18:47:21.207,A69-1602,65478,81.5,40.5,0,#92,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,044,2021-06-29 18:47:29.384,A69-1602,65478,80.0,40.5,0,#9B,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,045,2021-06-29 18:47:37.562,A69-1602,65478,79.0,39.5,0,#A9,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,046,2021-06-29 18:47:45.742,A69-1602,65478,66.5,43.0,0,#A0,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,048,2021-06-29 18:47:53.923,A69-1602,65478,67.0,40.5,0,#A0,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,049,2021-06-29 18:48:02.103,A69-1602,65478,72.0,37.0,0,#8F,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,050,2021-06-29 18:48:10.282,A69-1602,65478,73.5,37.0,0,#94,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,051,2021-06-29 18:48:18.462,A69-1602,65478,74.5,37.5,0,#A3,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,052,2021-06-29 18:48:26.642,A69-1602,65478,72.0,37.0,0,#97,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,053,2021-06-29 18:48:34.821,A69-1602,65478,77.5,38.0,0,#A1,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,054,2021-06-29 18:48:43.000,A69-1602,65478,74.5,37.5,0,#98,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,056,2021-06-29 18:48:51.180,A69-1602,65478,77.5,37.5,0,#A5,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,057,2021-06-29 18:48:59.359,A69-1602,65478,77.0,39.0,0,#AE,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,058,2021-06-29 18:49:07.540,A69-1602,65478,72.0,44.0,0,#98,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,059,2021-06-29 18:49:15.719,A69-1602,65478,73.0,40.0,0,#9D,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,060,2021-06-29 18:49:23.899,A69-1602,65478,66.5,39.5,0,#B1,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,061,2021-06-29 18:49:32.078,A69-1602,65478,69.5,39.5,0,#AA,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,062,2021-06-29 18:49:40.257,A69-1602,65478,62.5,37.0,0,#9B,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,063,2021-06-29 18:49:48.437,A69-1602,65478,58.0,36.5,0,#A8,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,065,2021-06-29 18:49:56.615,A69-1602,65478,71.5,31.5,0,#A2,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,066,2021-06-29 18:50:12.971,A69-1602,65478,76.5,37.0,0,#9E,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,067,2021-06-29 18:50:21.148,A69-1602,65478,79.5,40.5,0,#9D,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,068,2021-06-29 18:50:29.325,A69-1602,65478,76.5,41.0,0,#9C,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,069,2021-06-29 18:50:37.507,A69-1602,65478,70.5,42.5,0,#9E,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,070,2021-06-29 18:50:45.687,A69-1602,65478,69.5,42.5,0,#A6,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,072,2021-06-29 18:50:53.867,A69-1602,65478,64.5,42.0,0,#9D,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,073,2021-06-29 18:51:02.048,A69-1602,65478,71.0,40.5,0,#8C,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,074,2021-06-29 18:51:10.229,A69-1602,65478,68.0,39.5,0,#9B,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,075,2021-06-29 18:51:26.588,A69-1602,65478,69.5,38.5,0,#B0,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,076,2021-06-29 18:51:34.768,A69-1602,65478,73.0,40.0,0,#9A,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,077,2021-06-29 18:51:42.947,A69-1602,65478,71.5,39.0,0,#A4,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,079,2021-06-29 18:51:51.126,A69-1602,65478,78.0,39.0,0,#9D,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,080,2021-06-29 18:51:59.303,A69-1602,65478,73.5,37.0,0,#98,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,081,2021-06-29 18:52:07.479,A69-1602,65478,77.0,38.5,0,#A6,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,082,2021-06-29 18:52:15.656,A69-1602,65478,79.5,39.5,0,#AB,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,083,2021-06-29 18:52:23.833,A69-1602,65478,79.5,39.5,0,#A8,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,084,2021-06-29 18:52:32.011,A69-1602,65478,81.5,40.0,0,#89,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,085,2021-06-29 18:52:40.189,A69-1602,65478,59.5,37.0,0,#A4,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,086,2021-06-29 18:52:48.369,A69-1602,65478,68.5,41.0,0,#A8,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,088,2021-06-29 18:52:56.550,A69-1602,65478,70.5,41.5,0,#9F,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,089,2021-06-29 18:53:04.730,A69-1602,65478,73.0,41.0,0,#93,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,090,2021-06-29 18:53:12.910,A69-1602,65478,79.5,38.5,0,#A0,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,091,2021-06-29 18:53:21.090,A69-1602,65478,77.0,39.5,0,#9A,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,092,2021-06-29 18:53:29.268,A69-1602,65478,65.5,33.5,0,#A6,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,093,2021-06-29 18:53:45.624,A69-1602,65478,80.5,40.5,0,#9C,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,095,2021-06-29 18:53:53.804,A69-1602,65478,68.0,42.0,0,#9B,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,096,2021-06-29 18:54:01.984,A69-1602,65478,67.0,43.0,0,#9F,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,097,2021-06-29 18:54:10.166,A69-1602,65478,69.5,43.5,0,#A4,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,098,2021-06-29 18:54:18.346,A69-1602,65478,71.0,45.0,0,#9E,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,099,2021-06-29 18:54:26.525,A69-1602,65478,72.0,41.5,0,#9F,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,100,2021-06-29 18:54:34.703,A69-1602,65478,74.0,36.0,0,#8C,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,101,2021-06-29 18:54:42.880,A69-1602,65478,71.5,39.5,0,#9C,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,103,2021-06-29 18:54:51.059,A69-1602,65478,56.0,38.5,0,#99,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,104,2021-06-29 18:54:59.238,A69-1602,65478,67.5,43.5,0,#A4,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,105,2021-06-29 18:55:15.601,A69-1602,65478,73.5,41.5,0,#93,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,106,2021-06-29 18:55:23.780,A69-1602,65478,73.5,37.5,0,#A0,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,107,2021-06-29 18:55:31.959,A69-1602,65478,61.0,30.5,0,#99,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,108,2021-06-29 18:55:40.137,A69-1602,65478,79.0,37.5,0,#9E,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,109,2021-06-29 18:55:48.314,A69-1602,65478,72.0,39.0,0,#9A,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,111,2021-06-29 18:55:56.491,A69-1602,65478,75.0,38.0,0,#9A,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,112,2021-06-29 18:56:04.668,A69-1602,65478,80.0,39.5,0,#9D,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,113,2021-06-29 18:56:12.846,A69-1602,65478,68.5,38.0,0,#A0,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,114,2021-06-29 18:56:21.025,A69-1602,65478,69.5,39.5,0,#9D,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,115,2021-06-29 18:56:29.205,A69-1602,65478,74.5,42.5,0,#9C,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,116,2021-06-29 18:56:37.386,A69-1602,65478,76.5,41.0,0,#A2,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,117,2021-06-29 18:56:45.565,A69-1602,65478,77.0,40.5,0,#A1,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,119,2021-06-29 18:56:53.746,A69-1602,65478,76.0,39.5,0,#AA,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,120,2021-06-29 18:57:01.927,A69-1602,65478,71.5,42.0,0,#92,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,121,2021-06-29 18:57:10.107,A69-1602,65478,72.5,39.0,0,#90,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,122,2021-06-29 18:57:18.285,A69-1602,65478,75.0,37.5,0,#A1,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,123,2021-06-29 18:57:26.466,A69-1602,65478,76.5,38.0,0,#A4,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,124,2021-06-29 18:57:34.645,A69-1602,65478,72.5,37.5,0,#A3,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,125,2021-06-29 18:57:42.824,A69-1602,65478,76.0,37.5,0,#A1,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

